dex_number,name,form,type1,type2
123,Scyther,,Bug,Flying
125,Electabuzz,,Electric,
126,Magmar,,Fire,
127,Pinsir,,Bug,
129,Magikarp,,Water,
130,Gyarados,,Water,Flying
131,Lapras,,Water,Ice
137,Porygon,,Normal,
138,Omanyte,,Rock,Water
139,Omastar,,Rock,Water
140,Kabuto,,Rock,Water
141,Kabutops,,Rock,Water
142,Aerodactyl,,Rock,Flying
143,Snorlax,,Normal,
144,Articuno,,Ice,Flying
145,Zapdos,,Electric,Flying
146,Moltres,,Fire,Flying
147,Dratini,,Dragon,
148,Dragonair,,Dragon,
149,Dragonite,,Dragon,Flying
150,Mewtwo,,Psychic,
152,Chikorita,,Grass,
153,Bayleef,,Grass,
154,Meganium,,Grass,
155,Cyndaquil,,Fire,
156,Quilava,,Fire,
157,Typhlosion,,Fire,
158,Totodile,,Water,
159,Croconaw,,Water,
160,Feraligatr,,Water,
163,Hoothoot,,Normal,Flying
164,Noctowl,,Normal,Flying
165,Ledyba,,Bug,Flying
166,Ledian,,Bug,Flying
169,Crobat,,Poison,Flying
177,Natu,,Psychic,Flying
178,Xatu,,Psychic,Flying
179,Mareep,,Electric,
180,Flaaffy,,Electric,
181,Ampharos,,Electric,
182,Bellossom,,Grass,
185,Sudowoodo,,Rock,
186,Politoed,,Water,
187,Hoppip,,Grass,Flying
188,Skiploom,,Grass,Flying
189,Jumpluff,,Grass,Flying
190,Aipom,,Normal,
194,Wooper,,Water,Ground
195,Quagsire,,Water,Ground
198,Murkrow,,Dark,Flying
199,Slowking,,Water,Psychic
200,Misdreavus,,Ghost,
202,Wobbuffet,,Psychic,
203,Girafarig,,Normal,Psychic
204,Pineco,,Bug,
205,Forretress,,Bug,Steel
207,Gligar,,Ground,Flying
208,Steelix,,Steel,Ground
209,Snubbull,,Fairy,
210,Granbull,,Fairy,
211,Qwilfish,,Water,Poison
212,Scizor,,Bug,Steel
213,Shuckle,,Bug,Rock
215,Sneasel,,Dark,Ice
215,Sneasel,Hisuian,Fighting,Poison
216,Teddiursa,,Normal,
217,Ursaring,,Normal,
220,Swinub,,Ice,Ground
221,Piloswine,,Ice,Ground
225,Delibird,,Ice,Flying
227,Skarmory,,Steel,Flying
228,Houndour,,Dark,Fire
229,Houndoom,,Dark,Fire
230,Kingdra,,Water,Dragon
231,Phanpy,,Ground,
232,Donphan,,Ground,
233,Porygon2,,Normal,
234,Stantler,,Normal,
237,Hitmontop,,Fighting,
243,Raikou,,Electric,
244,Entei,,Fire,
245,Suicune,,Water,
246,Larvitar,,Rock,Ground
247,Pupitar,,Rock,Ground
248,Tyranitar,,Rock,Dark
249,Lugia,,Psychic,Flying
249,Lugia,Apex Shadow,Psychic,Flying
250,Ho-Oh,,Fire,Flying
250,Ho-Oh,Apex Shadow,Fire,Flying
252,Treecko,,Grass,
253,Grovyle,,Grass,
254,Sceptile,,Grass,
255,Torchic,,Fire,
256,Combusken,,Fire,Fighting
257,Blaziken,,Fire,Fighting
258,Mudkip,,Water,
259,Marshtomp,,Water,Ground
260,Swampert,,Water,Ground
261,Poochyena,,Dark,
262,Mightyena,,Dark,
263,Zigzagoon,Galarian,Dark,Normal
264,Linoone,Galarian,Dark,Normal
273,Seedot,,Grass,
274,Nuzleaf,,Grass,Dark
275,Shiftry,,Grass,Dark
276,Taillow,,Normal,Flying
277,Swellow,,Normal,Flying
280,Ralts,,Psychic,Fairy
281,Kirlia,,Psychic,Fairy
282,Gardevoir,,Psychic,Fairy
287,Slakoth,,Normal,
288,Vigoroth,,Normal,
289,Slaking,,Normal,
293,Whismur,,Normal,
294,Loudred,,Normal,
295,Exploud,,Normal,
296,Makuhita,,Fighting,
297,Hariyama,,Fighting,
299,Nosepass,,Rock,
302,Sableye,,Dark,Ghost
303,Mawile,,Steel,Fairy
304,Aron,,Steel,Rock
305,Lairon,,Steel,Rock
306,Aggron,,Steel,Rock
309,Electrike,,Electric,
310,Manectric,,Electric,
318,Carvanha,,Water,Dark
319,Sharpedo,,Water,Dark
320,Wailmer,,Water,
321,Wailord,,Water,
322,Numel,,Fire,Ground
323,Camerupt,,Fire,Ground
325,Spoink,,Psychic,
326,Grumpig,,Psychic,
328,Trapinch,,Ground,
329,Vibrava,,Ground,Dragon
330,Flygon,,Ground,Dragon
331,Cacnea,,Grass,
332,Cacturne,,Grass,Dark
333,Swablu,,Normal,Flying
334,Altaria,,Dragon,Flying
339,Barboach,,Water,Ground
340,Whiscash,,Water,Ground
341,Corphish,,Water,
342,Crawdaunt,,Water,Dark
343,Baltoy,,Ground,Psychic
344,Claydol,,Ground,Psychic
345,Lileep,,Rock,Grass
346,Cradily,,Rock,Grass
347,Anorith,,Rock,Bug
348,Armaldo,,Rock,Bug
349,Feebas,,Water,
350,Milotic,,Water,
353,Shuppet,,Ghost,
354,Banette,,Ghost,
355,Duskull,,Ghost,
356,Dusclops,,Ghost,
359,Absol,,Dark,
361,Snorunt,,Ice,
362,Glalie,,Ice,
363,Spheal,,Ice,Water
364,Sealeo,,Ice,Water
365,Walrein,,Ice,Water
371,Bagon,,Dragon,
372,Shelgon,,Dragon,
373,Salamence,,Dragon,Flying
374,Beldum,,Steel,Psychic
375,Metang,,Steel,Psychic
376,Metagross,,Steel,Psychic
377,Regirock,,Rock,
378,Regice,,Ice,
379,Registeel,,Steel,
380,Latias,,Dragon,Psychic
381,Latios,,Dragon,Psychic
382,Kyogre,,Water,
383,Groudon,,Ground,
387,Turtwig,,Grass,
388,Grotle,,Grass,
389,Torterra,,Grass,Ground
390,Chimchar,,Fire,
391,Monferno,,Fire,Fighting
392,Infernape,,Fire,Fighting
393,Piplup,,Water,
394,Prinplup,,Water,
395,Empoleon,,Water,Steel
396,Starly,,Normal,Flying
397,Staravia,,Normal,Flying
398,Staraptor,,Normal,Flying
399,Bidoof,,Normal,
400,Bibarel,,Normal,Water
403,Shinx,,Electric,
404,Luxio,,Electric,
405,Luxray,,Electric,
408,Cranidos,,Rock,
409,Rampardos,,Rock,
410,Shieldon,,Rock,Steel
411,Bastiodon,,Rock,Steel
424,Ambipom,,Normal,
425,Drifloon,,Ghost,Flying
426,Drifblim,,Ghost,Flying
429,Mismagius,,Ghost,
430,Honchkrow,,Dark,Flying
431,Glameow,,Normal,
432,Purugly,,Normal,
434,Stunky,,Poison,Dark
435,Skuntank,,Poison,Dark
443,Gible,,Dragon,Ground
444,Gabite,,Dragon,Ground
445,Garchomp,,Dragon,Ground
449,Hippopotas,,Ground,
450,Hippowdon,,Ground,
451,Skorupi,,Poison,Bug
452,Drapion,,Poison,Dark
453,Croagunk,,Poison,Fighting
454,Toxicroak,,Poison,Fighting
459,Snover,,Grass,Ice
460,Abomasnow,,Grass,Ice
461,Weavile,,Dark,Ice
462,Magnezone,,Electric,Steel
464,Rhyperior,,Ground,Rock
465,Tangrowth,,Grass,
466,Electivire,,Electric,
467,Magmortar,,Fire,
472,Gliscor,,Ground,Flying
473,Mamoswine,,Ice,Ground
474,Porygon-Z,,Normal,
475,Gallade,,Psychic,Fighting
476,Probopass,,Rock,Steel
477,Dusknoir,,Ghost,
478,Froslass,,Ice,Ghost
483,Dialga,,Steel,Dragon
484,Palkia,,Water,Dragon
485,Heatran,,Fire,Steel
486,Regigigas,,Normal,
487,Giratina,Altered Forme,Ghost,Dragon
488,Cresselia,,Psychic,
491,Darkrai,,Dark,
495,Snivy,,Grass,
496,Servine,,Grass,
497,Serperior,,Grass,
498,Tepig,,Fire,
499,Pignite,,Fire,Fighting
500,Emboar,,Fire,Fighting
501,Oshawott,,Water,
502,Dewott,,Water,
503,Samurott,,Water,
504,Patrat,,Normal,
505,Watchog,,Normal,
509,Purrloin,,Dark,
510,Liepard,,Dark,
519,Pidove,,Normal,Flying
520,Tranquill,,Normal,Flying
521,Unfezant,,Normal,Flying
522,Blitzle,,Electric,
523,Zebstrika,,Electric,
524,Roggenrola,,Rock,
525,Boldore,,Rock,
526,Gigalith,,Rock,
529,Drilbur,,Ground,
530,Excadrill,,Ground,Steel
532,Timburr,,Fighting,
533,Gurdurr,,Fighting,
534,Conkeldurr,,Fighting,
538,Throh,,Fighting,
539,Sawk,,Fighting,
543,Venipede,,Bug,Poison
544,Whirlipede,,Bug,Poison
545,Scolipede,,Bug,Poison
554,Darumaka,,Fire,
555,Darmanitan,,Fire,
557,Dwebble,,Bug,Rock
558,Crustle,,Bug,Rock
562,Yamask,,Ghost,
563,Cofagrigus,,Ghost,
564,Tirtouga,,Water,Rock
565,Carracosta,,Water,Rock
566,Archen,,Rock,Flying
567,Archeops,,Rock,Flying
568,Trubbish,,Poison,
569,Garbodor,,Poison,
574,Gothita,,Psychic,
575,Gothorita,,Psychic,
576,Gothitelle,,Psychic,
577,Solosis,,Psychic,
578,Duosion,,Psychic,
579,Reuniclus,,Psychic,
580,Ducklett,,Water,Flying
581,Swanna,,Water,Flying
588,Karrablast,,Bug,
589,Escavalier,,Bug,Steel
590,Foongus,,Grass,Poison
591,Amoonguss,,Grass,Poison
595,Joltik,,Bug,Electric
596,Galvantula,,Bug,Electric
597,Ferroseed,,Grass,Steel
598,Ferrothorn,,Grass,Steel
607,Litwick,,Ghost,Fire
608,Lampent,,Ghost,Fire
609,Chandelure,,Ghost,Fire
610,Axew,,Dragon,
611,Fraxure,,Dragon,
612,Haxorus,,Dragon,
616,Shelmet,,Bug,
617,Accelgor,,Bug,
622,Golett,,Ground,Ghost
623,Golurk,,Ground,Ghost
633,Deino,,Dark,Dragon
634,Zweilous,,Dark,Dragon
635,Hydreigon,,Dark,Dragon
641,Tornadus,Incarnate Forme,Flying,
642,Thundurus,Incarnate Forme,Electric,Flying
643,Reshiram,,Dragon,Fire
645,Landorus,Incarnate Forme,Ground,Flying
650,Chespin,,Grass,
651,Quilladin,,Grass,
652,Chesnaught,,Grass,Fighting
653,Fennekin,,Fire,
654,Braixen,,Fire,
655,Delphox,,Fire,Psychic
656,Froakie,,Water,
657,Frogadier,,Water,
658,Greninja,,Water,Dark
659,Bunnelby,,Normal,
660,Diggersby,,Normal,Ground
661,Fletchling,,Normal,Flying
662,Fletchinder,,Fire,Flying
663,Talonflame,,Fire,Flying
686,Inkay,,Dark,Psychic
687,Malamar,,Dark,Psychic
694,Helioptile,,Electric,Normal
695,Heliolisk,,Electric,Normal
696,Tyrunt,,Rock,Dragon
697,Tyrantrum,,Rock,Dragon
698,Amaura,,Rock,Ice
699,Aurorus,,Rock,Ice
708,Phantump,,Ghost,Grass
709,Trevenant,,Ghost,Grass
714,Noibat,,Flying,Dragon
715,Noivern,,Flying,Dragon
731,Pikipek,,Normal,Flying
732,Trumbeak,,Normal,Flying
733,Toucannon,,Normal,Flying
736,Grubbin,,Bug,
737,Charjabug,,Bug,Electric
738,Vikavolt,,Bug,Electric
751,Dewpider,,Water,Bug
752,Araquanid,,Water,Bug
755,Morelull,,Grass,Fairy
756,Shiinotic,,Grass,Fairy
759,Stufful,,Normal,Fighting
760,Bewear,,Normal,Fighting
821,Rookidee,,Flying,
822,Corvisquire,,Flying,
823,Corviknight,,Flying,Steel
862,Obstagoon,,Dark,Normal
901,Ursaluna,,Ground,Normal
903,Sneasler,,Fighting,Poison
979,Annihilape,,Fighting,Ghost
